,Area,2020
925,Asia,7017.717222
929,Central Asia,3865.637491
933,Eastern Asia,13190.821306
937,Southern Asia,2232.127707
941,South-eastern Asia,4483.985852
945,Western Asia,10601.793233
949,Europe,28105.05719
953,Eastern Europe,10691.685222
957,Northern Europe,45889.298945
961,Southern Europe,25120.076701
965,Western Europe,46827.317747
969,Oceania,39742.849655
973,Australia and New Zealand,53938.073033
977,Melanesia,3616.165256
981,Micronesia,3803.480967
985,Polynesia,12074.093896
989,European Union (27),34345.162904
993,Least Developed Countries,1095.439065
997,Land Locked Developing Countries,1550.544449
1001,Small Island Developing States,11834.14405
1005,Low Income Food Deficit Countries,1621.562918
1009,Net Food Importing Developing Countries,1740.799898
