,Area,CO2pc
0,Afghanistan,0.23676100908708705
1,Albania,1.8639783692322558
2,Algeria,4.324232111297618
3,Andorra,6.34010104915148
4,Angola,0.8540768323169627
5,Anguilla,9.683156577300574
6,Antigua and Barbuda,5.6549451029183855
7,Argentina,4.339918794235891
8,Armenia,2.4797668441000833
9,Aruba,9.106849625337386
10,Australia,15.152389405117773
11,Austria,7.354798641210074
12,Azerbaijan,3.569556411697507
13,Bahrain,19.10793766052147
14,Bangladesh,0.5358497012883816
15,Barbados,4.364506164011328
16,Belarus,6.97594593161787
17,Belgium,9.309766831650522
18,Belize,1.5571916893939792
19,Benin,0.600749052629569
20,Bhutan,2.281864751947261
21,Bosnia and Herzegovina,6.586135408391858
22,Botswana,2.870430842017795
23,Brazil,2.3276201766644244
24,British Virgin Islands,5.760342838305588
25,Bulgaria,6.141791890922441
26,Burkina Faso,0.2166582167570265
27,Burundi,0.05457880786589117
28,Cambodia,0.909896002792595
29,Cameroon,0.4083464254753617
30,Canada,16.336677480327257
31,Central African Republic,0.06467403891826537
32,Chad,0.10010119064021826
33,Chile,4.565958901582498
34,China,7.658884588386702
35,Colombia,1.936357235991075
36,Comoros,0.32573201788453887
37,Cook Islands,4.277864719179273
38,Costa Rica,1.7211779078205673
39,Croatia,4.540336042552732
40,Cuba,2.311609725214252
41,Cyprus,5.7719240813533625
42,Democratic Republic of the Congo,0.04140670020349108
43,Denmark,5.523784371127542
44,Djibouti,0.38289894608200165
45,Dominica,2.4100927664741683
46,Dominican Republic,2.329698367874283
47,Ecuador,2.559660294345119
48,Egypt,2.513962703089764
49,El Salvador,1.1345780711121223
50,Equatorial Guinea,5.201415892911948
51,Eritrea,0.21971489887600013
52,Estonia,16.344903142462115
53,Ethiopia,0.15208688448509927
54,Fiji,2.6145924465394845
55,Finland,8.40546239017917
56,France,5.278960352848373
57,Gabon,2.7113428211159425
58,Gambia,0.2688844933731874
59,Georgia,2.5209916961025365
60,Germany,8.790000508584805
61,Ghana,0.6080210644152158
62,Greece,6.29181180466481
63,Grenada,2.405735484824111
64,Guatemala,0.8884180200847754
65,Guinea,0.27676922665191755
66,Guyana,3.2540782213938897
67,Haiti,0.3081066370419365
68,Honduras,1.050490919395273
69,Hungary,5.26049680259254
70,Iceland,11.395000934987221
71,India,1.9541223810601958
