,Area,GDPpc,Std_temp
0,Afghanistan,495.504343,0.6769863652968309
1,Albania,5257.650696,0.7241911010359574
2,Algeria,4153.961485,0.715524293233745
3,Andorra,41794.398572,0.75740200073038
4,Angola,3289.643374,0.5465994322575375
5,Anguilla,21889.590357,0.4266651346881649
6,Antigua and Barbuda,16678.898744,0.4291125499312209
7,Argentina,11668.47239,0.3683854538699253
8,Armenia,4220.534194,0.8860907694610852
9,Aruba,30253.577818,0.4769586091282309
10,Australia,58596.826341,0.4704411097097255
11,Austria,51192.024455,0.9010671642148712
12,Azerbaijan,4735.14288,0.8059260996896176
13,The Bahamas,33289.983591,0.4759166025348411
14,Bahrain,23991.920463,0.8619963767626361
15,Bangladesh,1670.796355,0.4319690644914235
16,Barbados,17872.181579,0.4170096833155792
17,Belarus,6350.731855,0.8327329745461938
18,Belgium,47314.524698,0.5547459072810016
19,Belize,4927.194224,0.4349635729990105
20,Benin,1241.824418,0.5101837780953976
21,Bhutan,3243.513335,0.5169449833850741
22,Bolivia,3548.590155,0.3559527459889152
23,Bosnia and Herzegovina,6072.24537,0.6458755698461879
24,Botswana,8279.821655,0.6305249209637032
25,Brazil,9151.381601,0.5031575131706862
26,British Virgin Islands,46368.364539,0.4291461913519827
27,Brunei,31627.233053,0.4375251499406646
28,Bulgaria,9410.869005,0.819141227973614
29,Burkina Faso,813.09975,0.5253916686287297
30,Burundi,296.841911,0.4965079285899766
31,Cape Verde,3616.441531,0.7433675936643624
32,Cambodia,1512.127268,0.4543450062446528
33,Cameroon,1534.491991,0.4698005704086407
34,Canada,46444.396642,0.929378912414915
35,Cayman Islands,86053.960945,0.4572859417298663
36,Central African Republic,475.954444,0.4678361997922622
37,Chad,734.731831,0.4923239670426276
38,Chile,15888.149122,0.310412949000366
39,China,9968.925552,0.5757057745044896
40,Hong Kong S.A.R.,49064.673097,0.5910126763501418
41,Macao S.A.R,87554.217569,0.5910126763501418
42,"China, mainland",9732.726567,0.5760451262112145
43,Colombia,6729.584484,0.411989811004574
44,Comoros,1428.290313,0.3443730969806164
45,Republic of Congo,2547.519151,0.5244856657329369
46,Cook Islands,20705.211245,0.4768235969653251
47,Costa Rica,12468.580253,0.3444497209199345
48,Ivory Coast,2314.03166,0.5339249686343087
49,Croatia,14976.374623,0.6338318978346259
50,Cuba,8824.203348,0.4577072196362035
51,Cyprus,29618.250138,0.7338377044706358
52,Czech Republic,23341.237818,0.7739609131434815
53,Czechoslovakia,,0.6845885861289717
54,North Korea,687.943178,0.7106720662811714
55,Democratic Republic of the Congo,560.807362,0.5493528960254827
56,Denmark,62036.404698,0.9830019940053932
57,Djibouti,3048.589504,0.5849471951493808
58,Dominica,7745.485101,0.417038287610782
59,Dominican Republic,8050.649783,0.5042362714902001
60,Ecuador,6295.93503,0.4632928006408939
61,Egypt,2537.512209,0.6523582483214307
62,El Salvador,4052.62157,0.4804836662696377
63,Equatorial Guinea,10005.547947,0.4644992420656922
64,Eritrea,580.881171,0.4446161153174724
65,Estonia,23047.123715,0.8290316890079114
66,Swaziland,4105.620395,0.4603044864202165
67,Ethiopia,734.362795,0.3566101588832253
68,Ethiopia PDR,,0.3354579906755308
69,Fiji,6317.494796,0.4279930895463775
70,Finland,49925.087042,1.1511946244610327
71,France,41537.642798,0.757792822084101
72,French Polynesia,22679.087457,0.3594752391208379
73,Gabon,7959.010662,0.4565480845999823
74,Gambia,732.727,0.6417667515444986
75,Georgia,4396.662602,0.8543079850576919
76,Germany,47847.426197,0.9192195260972592
77,Ghana,2260.113451,0.518869091800841
78,Greece,20152.490167,0.6623458286433995
79,Greenland,53751.595228,1.102101352037976
80,Grenada,10466.33079,0.4195666877440115
81,Guatemala,4244.525131,0.4767288640685244
82,Guinea,955.111206,0.5286594418569301
83,Guinea Bissau,737.582751,0.6208616373054431
84,Guyana,6145.828152,0.5481418726646469
85,Haiti,1422.454485,0.5423730125102589
86,Honduras,2510.320234,0.4475497774311686
87,Hungary,16542.554759,0.9126141291005088
88,Iceland,78010.245395,0.7172538110795904
89,India,2041.440108,0.3850651644518326
90,Indonesia,3893.859673,0.3726890644999048
91,Iran,6434.769967,0.7660353096485926
92,Iraq,5915.851469,0.867416023242048
93,Ireland,79905.889623,0.583981034481326
94,Israel,44579.201478,0.7610155488383732
95,Italy,34504.797951,0.6854131975430005
96,Jamaica,5360.004186,0.464795635477164
97,Japan,39597.523136,0.5357669529458237
98,Jordan,4308.18107,0.8205237318539416
99,Kazakhstan,9789.504209,0.8119990629064294
100,Kenya,1794.09181,0.474259698058127
101,Kiribati,1693.864554,0.5300998092008585
102,Kuwait,33403.900872,0.873865948317255
103,Kyrgyzstan,1312.034714,0.5836100305992796
104,Laos,2569.092464,0.5508967736257464
105,Latvia,17853.126997,0.8035108994389817
106,Lebanon,8058.444337,0.8017380167741727
107,Lesotho,1191.852337,0.4707753138970472
108,Liberia,569.614477,0.5354746451779161
109,Libya,11414.305512,0.5925461398649496
110,Liechtenstein,180407.852034,0.8327050399790777
111,Lithuania,19188.092185,0.8152918982243997
112,Luxembourg,117973.701723,0.5780630536017624
113,Madagascar,523.945979,0.4208877016224746
114,Malawi,544.394114,0.4978581918930054
115,Malaysia,11377.569225,0.4643526635811013
116,Maldives,10279.23134,0.344145458049785
117,Mali,894.805125,0.5733694509846198
118,Malta,34896.726122,0.6861909980408878
119,Marshall Islands,3797.001524,0.2863474391608531
120,Mauritania,1669.773097,0.688843477585454
121,Mauritius,11191.680901,0.406391913590433
122,Mexico,9686.492811,0.5009485368897906
123,Micronesia (Federated States of),3568.290829,0.254015802573362
124,Monaco,185986.077868,0.6843040371797805
125,Mongolia,4134.973764,0.8644517476665288
126,Montenegro,8771.63114,0.4049470284288222
127,Montserrat,12589.47712,0.4291125499312209
128,Morocco,3277.800997,0.7840249204944216
129,Mozambique,503.302094,0.3914719860309222
130,Myanmar,1370.685748,0.5004826713999044
131,Namibia,5587.965592,0.6775755352807014
132,Nauru,12952.541727,0.3487546868200446
133,Nepal,1129.421023,0.4200329709931252
134,Netherlands,53579.543563,0.909272303470156
135,Netherlands Antilles (former),,0.4347900479453845
136,New Caledonia,35168.451654,0.4255602530332792
137,New Zealand,44686.328722,0.4486459829674026
138,Nicaragua,2014.572705,0.4408994445659682
139,Niger,570.724245,0.557340310634287
140,Nigeria,2153.526494,0.5021799902653936
141,Macedonia,6088.972568,0.6857080081301319
142,Norway,81866.392565,0.9289774991834148
143,Oman,16521.216491,0.5568567989488133
144,Pakistan,1338.888168,0.5319675146209792
145,Palau,15934.060367,0.3540031290604864
146,Palestine,3347.043037,0.7627648267154936
147,Panama,15544.723394,0.4148753194656852
148,Papua New Guinea,2813.728172,0.3820997974237317
149,Paraguay,5782.787088,0.4518158929175645
150,Peru,6957.788787,0.474347390050886
151,Philippines,3252.108424,0.4207020128387281
152,Poland,15490.094258,1.004345067842993
153,Portugal,23626.029325,0.6811185745289187
154,Puerto Rico,33203.425718,0.4590584733639202
155,Qatar,65907.948433,0.8071255923695665
156,South Korea,33705.256943,0.6353927256799486
157,Moldova,2827.641046,0.9121807273289352
158,Romania,12378.497435,0.892585906229759
159,Russia,11372.277988,0.5736814147167381
160,Russia,,0.5736814147167381
161,Rwanda,783.71435,0.4682193919678875
162,Saint Kitts and Nevis,19275.418513,0.4291125499312209
163,Saint Lucia,11353.770299,0.4117549791338654
164,Saint Vincent and the Grenadines,7361.334168,0.4185559765007314
165,Samoa,4256.22461,0.3735251606980862
