,Area,Item Code,Item,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2030,2050
450,Albania,6825,All sectors with LULUCF,Emissions (N2O),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0185,3.8317,3.6152,3.8476,4.6408,4.616,4.1238,3.9015,4.0261,4.0194,4.2937,4.0665,4.5682,4.6169,4.4124,4.4567,4.3203,4.2332,3.9931,3.9432,3.9155,4.071,4.0567,3.9661,4.0313,4.1641,4.2666,4.1759,3.7917,3.8674,3.5566,,3.6235,3.6937
451,Albania,6825,All sectors with LULUCF,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6280.6786,4932.5686,2881.5586,2717.6286,2345.6986,2439.7586,2355.8386,1868.8186,2079.9186,3315.9716,3344.0616,2235.97,2767.04,3353.0847,3219.1616,3306.2616,2934.3316,2958.3916,3420.4616,3408.5316,3806.9481,4621.3021,4161.3721,4590.7185,5320.7185,4040.6095,4569.4247,5569.5192,5118.2616,5166.5621,5026.4672,,,
456,Albania,6829,All sectors without LULUCF,Emissions (CH4),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.4544,146.662,120.1878,125.8345,147.7615,146.0826,139.1274,129.9479,124.4468,126.423,128.3745,126.0407,124.5592,125.4025,122.9533,122.3726,120.9755,116.4944,110.0347,105.9823,107.0837,105.3229,107.6168,108.5698,111.0515,112.0823,110.8048,109.8904,108.9309,102.2242,96.1403,,101.1806,100.4891
457,Albania,6829,All sectors without LULUCF,Emissions (N2O),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0088,3.822,3.6056,3.838,4.6312,4.6064,4.1065,3.8585,4.0049,4.0023,4.1931,4.0665,4.5682,4.6151,4.4124,4.4567,4.3203,4.2218,3.9931,3.9409,3.9155,4.0666,4.0497,3.9661,4.0313,4.1634,4.2654,4.1713,3.7917,3.8674,3.5566,,3.6235,3.6937
458,Albania,6829,All sectors without LULUCF,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6097.25,4749.14,2698.13,2534.2,2162.27,2256.33,2172.41,1685.39,1896.49,3132.58,3160.67,3358.76,3889.83,4475.92,4342.02,4429.12,4057.19,4081.25,4543.32,4531.39,4930.46,5472.53,5012.6,5442.6,6172.6,4892.6,4812.6,5812.64,5362.69,5412.8,5272.85,,,
522,Algeria,6751,Forestland,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-111.1403,-111.1403,-111.1403,-111.1403,-111.1403,-111.1403,-111.1403,-111.1403,-111.1403,-111.1403,-111.1403,-2405.4983,-2405.4983,-2405.4983,-2405.4983,-2405.4983,-2405.4983,-2405.4983,-2405.4983,-2405.4983,-2405.4983,-901.736,-901.736,-901.736,-901.736,-901.736,-440.7773,-440.7773,-440.7773,-440.7773,-440.7773,,,
524,Algeria,6750,Net Forest conversion,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.9333,684.9333,684.9333,684.9333,684.9333,684.9333,684.9333,684.9333,684.9333,684.9333,684.9333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.32,276.32,276.32,276.32,276.32,637.8973,637.8973,637.8973,637.8973,637.8973,,,
684,Algeria,6825,All sectors with LULUCF,Emissions (CH4),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2543.3046,2525.0091,2564.6899,2726.8312,2717.663,2989.2479,3072.8508,2913.0151,2863.4918,2964.1838,3163.1691,2826.5955,2694.6808,2955.5696,2867.2653,2933.2924,3072.029,2913.6709,3034.0068,2788.8331,2928.4372,2915.7269,2969.6919,2912.9441,3024.3694,3049.8279,3219.0341,3225.945,3278.7811,3168.3597,3183.698,,271.0215,327.4803
685,Algeria,6825,All sectors with LULUCF,Emissions (N2O),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1627,16.2714,16.7691,17.3164,16.1545,14.9794,15.0565,14.8821,17.1731,17.5483,18.0703,18.6281,17.6932,18.7739,21.0547,19.0823,18.8094,22.4176,21.3722,23.3159,24.2563,24.964,26.9012,26.9949,28.0991,28.5937,28.3903,28.6847,28.634,29.8144,30.3545,,17.8671,22.3317
686,Algeria,6825,All sectors with LULUCF,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79274.698,81964.735,77894.771,85034.803,88874.843,95704.883,99014.913,89874.943,109514.983,94675.013,92645.083,83845.8317,89905.8617,91195.9017,88145.9317,106475.9717,100706.0117,108846.0517,109276.1017,120896.1417,118196.1917,121876.324,130776.374,144956.434,157076.484,166276.544,168199.13,171299.18,181499.23,186599.27,175699.32,,,
691,Algeria,6829,All sectors without LULUCF,Emissions (CH4),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2541.4747,2523.1792,2562.8601,2725.0013,2715.8332,2987.418,3070.4541,2911.2443,2861.6198,2962.2249,3153.5424,2826.4859,2694.1033,2954.3574,2867.0288,2932.4461,3070.9985,2910.0668,3032.0553,2788.3851,2928.253,2914.0542,2966.1474,2912.7201,3023.8915,3049.7607,3218.2451,3220.4765,3278.7811,3167.7474,3181.6446,,271.0215,327.4803
692,Algeria,6829,All sectors without LULUCF,Emissions (N2O),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0201,16.1288,16.6264,17.1738,16.0119,14.8367,14.9239,14.7841,17.0695,17.4399,17.5378,18.6181,17.6404,18.6632,21.0332,19.005,18.7153,22.0885,21.1941,23.275,24.2394,24.8113,26.5776,26.9745,28.0555,28.5876,28.3183,28.1854,28.634,29.7585,30.167,,17.8671,22.3317
693,Algeria,6829,All sectors without LULUCF,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78700.905,81390.942,77320.978,84461.01,88301.05,95131.09,98441.12,89301.15,108941.19,94101.22,92071.29,86251.33,92311.36,93601.4,90551.43,108881.47,103111.51,111251.55,111681.6,123301.64,120601.69,122501.74,131401.79,145581.85,157701.9,166901.96,168002.01,171102.06,181302.11,186402.15,175502.2,,,
709,American Samoa,6751,Forestland,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.8991,-58.8991,-58.8991,-58.8991,-58.8991,-58.8991,-58.8991,-58.8991,-58.8991,-58.8991,-58.8991,-47.4212,-47.4212,-47.4212,-47.4212,-47.4212,-47.4212,-47.4212,-47.4212,-47.4212,-47.4212,-44.7322,-44.7322,-44.7322,-44.7322,-44.7322,-50.3736,-50.3736,-50.3736,-50.3736,-50.3736,,,
711,American Samoa,6750,Net Forest conversion,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.8374,8.8374,8.8374,8.8374,8.8374,9.2257,9.2257,9.2257,9.2257,9.2257,,,
788,American Samoa,6825,All sectors with LULUCF,Emissions (CH4),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
789,American Samoa,6825,All sectors with LULUCF,Emissions (N2O),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
790,American Samoa,6825,All sectors with LULUCF,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.9378,-50.9378,-50.9378,-50.9378,-50.9378,-50.9378,-50.9378,-50.9378,-50.9378,-50.9378,-50.9378,-39.4,-39.4,-39.4,-39.4,-39.4,-39.4,-39.4,-39.4,-39.4,-39.4,-35.8948,-35.8948,-35.8948,-35.8948,-35.8948,-41.1479,-41.1479,-41.1479,-41.1479,-41.1479,,,
794,American Samoa,6829,All sectors without LULUCF,Emissions (CH4),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
795,American Samoa,6829,All sectors without LULUCF,Emissions (N2O),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
