,Area,N20pc
201,Turks and Caicos Islands,0.0002723744787523802
202,Tuvalu,0.0004233778186838472
203,Uganda,0.0010048778290559443
204,Ukraine,0.0021081309643850962
205,United Arab Emirates,0.000945540503682153
206,United Kingdom,0.0015802644929756515
207,United Republic of Tanzania,0.0013792957302804526
208,United States of America,0.002976196151865907
209,United States Virgin Islands,0.0
210,Uruguay,0.007676912042513632
211,Uzbekistan,0.0015159273575716366
212,Vanuatu,0.0011920699096529409
213,Venezuela,0.0014044084801764442
214,Vietnam,0.0009349262645587868
215,Wallis and Futuna,0.0
216,Western Sahara,0.0
217,Yemen,0.0005102480754380416
218,Zambia,0.0024225812523095986
219,Zimbabwe,0.0012494266612738723
