,Area,2018
1,Afghanistan,495.504343
5,Albania,5257.650696
9,Algeria,4153.961485
13,Andorra,41794.398572
17,Angola,3289.643374
21,Anguilla,21889.590357
25,Antigua and Barbuda,16678.898744
29,Argentina,11668.47239
33,Armenia,4220.534194
37,Aruba,30253.577818
41,Australia,58596.826341
45,Austria,51192.024455
49,Azerbaijan,4735.14288
53,The Bahamas,33289.983591
57,Bahrain,23991.920463
61,Bangladesh,1670.796355
65,Barbados,17872.181579
69,Belarus,6350.731855
73,Belgium,47314.524698
77,Belize,4927.194224
81,Benin,1241.824418
85,Bermuda,115117.725795
89,Bhutan,3243.513335
93,Bolivia,3548.590155
97,Bosnia and Herzegovina,6072.24537
101,Botswana,8279.821655
105,Brazil,9151.381601
109,British Virgin Islands,46368.364539
113,Brunei,31627.233053
117,Bulgaria,9410.869005
121,Burkina Faso,813.09975
125,Burundi,296.841911
129,Cape Verde,3616.441531
133,Cambodia,1512.127268
137,Cameroon,1534.491991
141,Canada,46444.396642
145,Cayman Islands,86053.960945
149,Central African Republic,475.954444
153,Chad,734.731831
157,Chile,15888.149122
161,China,9968.925552
165,Hong Kong S.A.R.,49064.673097
169,Macao S.A.R,87554.217569
173,"China, mainland",9732.726567
177,Colombia,6729.584484
181,Comoros,1428.290313
185,Republic of Congo,2547.519151
189,Cook Islands,20705.211245
193,Costa Rica,12468.580253
197,Ivory Coast,2314.03166
201,Croatia,14976.374623
205,Cuba,8824.203348
209,Curaçao,19218.863309
213,Cyprus,29618.250138
217,Czech Republic,23341.237818
221,Czechoslovakia,
225,North Korea,687.943178
229,Democratic Republic of the Congo,560.807362
233,Denmark,62036.404698
237,Djibouti,3048.589504
241,Dominica,7745.485101
245,Dominican Republic,8050.649783
249,Ecuador,6295.93503
253,Egypt,2537.512209
257,El Salvador,4052.62157
261,Equatorial Guinea,10005.547947
265,Eritrea,580.881171
269,Estonia,23047.123715
273,Swaziland,4105.620395
277,Ethiopia,734.362795
281,Ethiopia PDR,
285,Fiji,6317.494796
289,Finland,49925.087042
293,France,41537.642798
297,French Polynesia,22679.087457
301,Gabon,7959.010662
305,Gambia,732.727
309,Georgia,4396.662602
313,Germany,47847.426197
317,Ghana,2260.113451
321,Greece,20152.490167
325,Greenland,53751.595228
329,Grenada,10466.33079
333,Guatemala,4244.525131
337,Guinea,955.111206
341,Guinea Bissau,737.582751
345,Guyana,6145.828152
349,Haiti,1422.454485
353,Honduras,2510.320234
357,Hungary,16542.554759
361,Iceland,78010.245395
365,India,2041.440108
369,Indonesia,3893.859673
373,Iran,6434.769967
377,Iraq,5915.851469
381,Ireland,79905.889623
385,Israel,44579.201478
389,Italy,34504.797951
393,Jamaica,5360.004186
397,Japan,39597.523136
401,Jordan,4308.18107
405,Kazakhstan,9789.504209
409,Kenya,1794.09181
413,Kiribati,1693.864554
417,Kuwait,33403.900872
421,Kyrgyzstan,1312.034714
425,Laos,2569.092464
429,Latvia,17853.126997
433,Lebanon,8058.444337
437,Lesotho,1191.852337
441,Liberia,569.614477
445,Libya,11414.305512
449,Liechtenstein,180407.852034
453,Lithuania,19188.092185
457,Luxembourg,117973.701723
461,Madagascar,523.945979
465,Malawi,544.394114
469,Malaysia,11377.569225
473,Maldives,10279.23134
477,Mali,894.805125
481,Malta,34896.726122
485,Marshall Islands,3797.001524
489,Mauritania,1669.773097
493,Mauritius,11191.680901
497,Mexico,9686.492811
501,Micronesia (Federated States of),3568.290829
505,Monaco,185986.077868
509,Mongolia,4134.973764
513,Montenegro,8771.63114
517,Montserrat,12589.47712
521,Morocco,3277.800997
525,Mozambique,503.302094
529,Myanmar,1370.685748
533,Namibia,5587.965592
537,Nauru,12952.541727
541,Nepal,1129.421023
545,Netherlands,53579.543563
549,Netherlands Antilles (former),
553,New Caledonia,35168.451654
557,New Zealand,44686.328722
561,Nicaragua,2014.572705
565,Niger,570.724245
569,Nigeria,2153.526494
573,Macedonia,6088.972568
577,Norway,81866.392565
581,Oman,16521.216491
585,Pakistan,1338.888168
589,Palau,15934.060367
593,Palestine,3347.043037
597,Panama,15544.723394
601,Papua New Guinea,2813.728172
605,Paraguay,5782.787088
609,Peru,6957.788787
613,Philippines,3252.108424
617,Poland,15490.094258
621,Portugal,23626.029325
625,Puerto Rico,33203.425718
629,Qatar,65907.948433
633,South Korea,33705.256943
637,Moldova,2827.641046
641,Romania,12378.497435
