,Area,2018
645,Russia,11372.277988
649,Rwanda,783.71435
653,Saint Kitts and Nevis,19275.418513
657,Saint Lucia,11353.770299
661,Saint Vincent and the Grenadines,7361.334168
665,Samoa,4256.22461
669,San Marino,48996.723516
673,Sao Tome and Principe,1968.249856
677,Saudi Arabia,23337.019971
681,Senegal,1458.069294
685,Republic of Serbia,7214.957802
689,Seychelles,15940.238604
693,Sierra Leone,533.99146
697,Singapore,65300.910137
701,Sint Maarten (Dutch part),23355.322648
705,Slovakia,19367.783123
709,Slovenia,26067.295796
713,Solomon Islands,2411.89837
717,Somalia,111.408564
721,South Africa,6369.231608
725,South Sudan,737.38074
729,Spain,30432.794294
733,Sri Lanka,4143.579418
737,Sudan,1156.977945
741,Somaliland,
745,Suriname,6547.736923
749,Sweden,55703.523482
753,Switzerland,86274.086579
757,Syria,1303.775531
761,Tajikistan,853.218444
765,Thailand,7296.876574
769,East Timor,1249.139354
773,Togo,883.943315
777,Tonga,4649.844824
781,Trinidad and Tobago,17139.281653
785,Tunisia,3438.848968
789,Turkey,9454.407119
793,Turkmenistan,6544.670362
797,Turks and Caicos Islands,29554.70596
801,Tuvalu,4180.37128
805,Uganda,797.249547
809,Ukraine,2958.491927
813,United Arab Emirates,43839.356349
817,United Kingdom,43204.03168
821,United Republic of Tanzania,1041.035526
825,United States of America,62755.711992
829,Uruguay,18703.91277
833,Russia,
837,Uzbekistan,1551.676137
841,Vanuatu,3125.260145
845,Venezuela,7063.484955
849,Vietnam,2566.447346
853,Yemen,803.648964
857,Yemen Ar Rp,
861,Yemen Dem,
865,Yugoslav SFR,
869,Zambia,1516.391628
873,Zimbabwe,1683.765768
877,World,11275.864457
881,Africa,1904.725671
885,Eastern Africa,946.276014
889,Middle Africa,1445.857515
893,Northern Africa,2989.223115
897,Southern Africa,6200.476336
901,Western Africa,1753.586
905,Americas,27739.488219
909,Northern America,61103.29796
913,Central America,8478.973233
917,Caribbean,9014.981553
921,South America,8868.753086
925,Asia,6980.921115
929,Central Asia,3942.463524
933,Eastern Asia,12846.877868
937,Southern Asia,2103.235286
941,South-eastern Asia,4588.904105
945,Western Asia,12136.498627
949,Europe,29535.016087
953,Eastern Europe,11130.713739
957,Northern Europe,48180.565689
961,Southern Europe,27575.290032
965,Western Europe,48787.522078
969,Oceania,41724.415849
973,Australia and New Zealand,56370.900004
977,Melanesia,3932.074449
981,Micronesia,3941.620135
985,Polynesia,13238.509321
989,European Union (27),35944.534123
993,Least Developed Countries,1070.529129
997,Land Locked Developing Countries,1598.203233
1001,Small Island Developing States,12812.703669
1005,Low Income Food Deficit Countries,1648.870752
1009,Net Food Importing Developing Countries,1792.333372
